fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,fold_1,0.7532,0.7288,0.7640,0.5772,0.6442,0.7888
2,fold_2,0.7143,0.6102,0.7603,0.5294,0.5669,0.7163
3,fold_3,0.6649,0.6102,0.6891,0.4645,0.5275,0.7309
4,fold_4,0.6771,0.5847,0.7180,0.4792,0.5267,0.7005
5,fold_5,0.6927,0.6441,0.7143,0.5000,0.5630,0.7353
