fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,fold_1,0.7403,0.7119,0.7528,0.5600,0.6269,0.7753
2,fold_2,0.7065,0.6102,0.7491,0.5180,0.5603,0.7174
3,fold_3,0.6987,0.6525,0.7191,0.5066,0.5704,0.7325
4,fold_4,0.6667,0.6017,0.6955,0.4671,0.5259,0.7143
5,fold_5,0.6719,0.6441,0.6842,0.4750,0.5468,0.7180
